index,Sector,Category,Crop,QueryType,StateName,DistrictName
34,HORTICULTURE,Vegetables,Beans ,	Plant Protection	,WEST BENGAL,MALDAH
35,HORTICULTURE,Vegetables,Beans ,	Plant Protection	,WEST BENGAL,MALDAH
36,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
38,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
39,HORTICULTURE,Vegetables,Capsicum,Cultural Practices,WEST BENGAL,MALDAH
40,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
41,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,WEST BENGAL,MALDAH
42,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,WEST BENGAL,MALDAH
43,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,WEST BENGAL,MALDAH
44,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,MALDAH
45,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
46,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
47,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
48,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
49,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
50,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
51,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
52,HORTICULTURE,Fruits,Banana,	Plant Protection	,WEST BENGAL,MALDAH
53,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
54,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
55,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
56,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
57,HORTICULTURE,Vegetables,Brinjal,Government Schemes,WEST BENGAL,MALDAH
58,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
59,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
60,HORTICULTURE,Vegetables,Carrot,	Plant Protection	,WEST BENGAL,MALDAH
61,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
62,AGRICULTURE,Cereals,Paddy (Dhan),Credit,WEST BENGAL,MALDAH
63,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
64,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,WEST BENGAL,MALDAH
65,HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,WEST BENGAL,MALDAH
66,HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,	Plant Protection	,WEST BENGAL,MALDAH
67,HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,	Plant Protection	,WEST BENGAL,MALDAH
68,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,WEST BENGAL,MALDAH
69,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,WEST BENGAL,MALDAH
71,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
72,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
73,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
74,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,WEST BENGAL,MALDAH
75,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
76,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
77,HORTICULTURE,Vegetables,Amaranthus/Grain Amaranthus,Seeds and Planting Material,WEST BENGAL,MALDAH
78,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
79,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,MALDAH
80,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
81,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
82,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
83,HORTICULTURE,Vegetables,Potato,Cultural Practices,WEST BENGAL,MALDAH
84,HORTICULTURE,Fruits,Banana,	Plant Protection	,WEST BENGAL,MALDAH
85,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,WEST BENGAL,MALDAH
86,AGRICULTURE,Others,Others,Credit,WEST BENGAL,MALDAH
87,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,WEST BENGAL,MALDAH
88,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
89,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
90,HORTICULTURE,Fruits,Banana,	Plant Protection	,WEST BENGAL,MALDAH
91,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,WEST BENGAL,MALDAH
92,AGRICULTURE,Cereals,Wheat,	Plant Protection	,WEST BENGAL,MALDAH
93,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,WEST BENGAL,MALDAH
94,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
96,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
97,HORTICULTURE,Fruits,Sapota,Nutrient Management,WEST BENGAL,MALDAH
98,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
99,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
100,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
101,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
102,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
103,HORTICULTURE,Vegetables,Carrot,	Plant Protection	,WEST BENGAL,MALDAH
104,HORTICULTURE,Vegetables,Others,	Plant Protection	,WEST BENGAL,MALDAH
105,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
106,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
107,HORTICULTURE,Vegetables,Onion,"Water Management, Micro Irrigation",WEST BENGAL,MALDAH
108,HORTICULTURE,Vegetables,Onion,Fertilizer Use and Availability,WEST BENGAL,MALDAH
109,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
110,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,WEST BENGAL,MALDAH
111,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,WEST BENGAL,MALDAH
112,HORTICULTURE,Vegetables,Bottle Gourd ,	Plant Protection	,WEST BENGAL,MALDAH
113,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,WEST BENGAL,MALDAH
114,HORTICULTURE,Fruits,Citrus,	Plant Protection	,WEST BENGAL,MALDAH
115,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
116,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
117,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
118,HORTICULTURE,Vegetables,Potato,Cultural Practices,WEST BENGAL,MALDAH
119,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,MALDAH
120,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
121,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
122,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,MALDAH
123,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
124,AGRICULTURE,Cereals,Wheat,Nutrient Management,WEST BENGAL,MALDAH
125,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
126,HORTICULTURE,Vegetables,Capsicum,	Plant Protection	,WEST BENGAL,MALDAH
127,HORTICULTURE,Vegetables,Lab Lab,	Plant Protection	,WEST BENGAL,MALDAH
128,AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,WEST BENGAL,MALDAH
129,AGRICULTURE,Oilseeds,Mustard,Fertilizer Use and Availability,WEST BENGAL,MALDAH
130,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
131,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
132,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Cultural Practices,WEST BENGAL,MALDAH
133,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
134,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
137,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
138,HORTICULTURE,Vegetables,Pea (Vegetable),	Plant Protection	,WEST BENGAL,MALDAH
139,HORTICULTURE,Vegetables,Pea (Vegetable),Nutrient Management,WEST BENGAL,MALDAH
140,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
141,AGRICULTURE,Cereals,Wheat,	Plant Protection	,WEST BENGAL,MALDAH
142,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
143,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,MALDAH
144,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,MALDAH
145,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
146,HORTICULTURE,Vegetables,Mushroom,Government Schemes,WEST BENGAL,MALDAH
147,HORTICULTURE,Vegetables,ARUM ,Cultural Practices,WEST BENGAL,MALDAH
148,HORTICULTURE,Vegetables,Cucumber,Seeds and Planting Material,WEST BENGAL,MALDAH
149,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
150,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
151,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,Animal Breeding,WEST BENGAL,MALDAH
152,AGRICULTURE,Oilseeds,Mustard,Nutrient Management,WEST BENGAL,MALDAH
153,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
154,HORTICULTURE,Vegetables,Cauliflower,Nutrient Management,WEST BENGAL,MALDAH
155,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
156,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
157,AGRICULTURE,Others,Others,Credit,WEST BENGAL,MALDAH
158,HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MALDAH
159,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
162,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,MALDAH
163,HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MALDAH
164,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,WEST BENGAL,MALDAH
165,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
167,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
168,HORTICULTURE,Vegetables,Cucumber,Cultural Practices,WEST BENGAL,MALDAH
170,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
171,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
172,AGRICULTURE,Fiber Crops,Jute,Market Information,WEST BENGAL,MALDAH
173,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
174,HORTICULTURE,Fruits,Litchi,	Plant Protection	,WEST BENGAL,MALDAH
175,ANIMAL HUSBANDRY,Avian,Duck,Animal Nutrition,WEST BENGAL,MALDAH
176,AGRICULTURE,Millets,Maize (Makka),Weed Management,WEST BENGAL,MALDAH
178,AGRICULTURE,Cereals,Wheat,	Plant Protection	,WEST BENGAL,MALDAH
179,AGRICULTURE,Oilseeds,Mustard,Cultural Practices,WEST BENGAL,MALDAH
180,HORTICULTURE,Fruits,Mango,Nutrient Management,WEST BENGAL,MALDAH
183,AGRICULTURE,Oilseeds,Mustard,Nutrient Management,WEST BENGAL,MALDAH
184,AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH
185,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
186,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
187,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
188,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
189,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
190,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
191,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
192,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
193,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
194,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
195,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
196,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
197,HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MALDAH
198,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
199,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,WEST BENGAL,MALDAH
200,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
201,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,WEST BENGAL,MALDAH
202,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
203,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
205,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
206,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
207,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
208,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,WEST BENGAL,MALDAH
209,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
210,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
211,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,MALDAH
212,HORTICULTURE,Vegetables,Lab Lab,	Plant Protection	,WEST BENGAL,MALDAH
213,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
215,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
216,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
217,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
218,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
219,HORTICULTURE,Fruits,Banana,Nutrient Management,WEST BENGAL,MALDAH
220,HORTICULTURE,Condiments and Spices,Garlic,	Plant Protection	,WEST BENGAL,MALDAH
222,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,MALDAH
223,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,WEST BENGAL,MALDAH
224,HORTICULTURE,Vegetables,Drum Stick,	Plant Protection	,WEST BENGAL,MALDAH
225,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,MALDAH
226,HORTICULTURE,Fruits,Banana,Nutrient Management,WEST BENGAL,MALDAH
227,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,WEST BENGAL,MALDAH
228,AGRICULTURE,Pulses,Black Gram (urd bean),Market Information,WEST BENGAL,MALDAH
229,HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,WEST BENGAL,MALDAH
230,HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MALDAH
231,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
232,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,WEST BENGAL,MALDAH
233,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
234,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MALDAH
235,HORTICULTURE,Fruits,Litchi,Nutrient Management,WEST BENGAL,MALDAH
236,AGRICULTURE,Pulses,Lentil (Masur),Nutrient Management,WEST BENGAL,MALDAH
237,HORTICULTURE,Vegetables,Potato,Fertilizer Use and Availability,WEST BENGAL,MALDAH
238,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
239,HORTICULTURE,Vegetables,Lab Lab,	Plant Protection	,WEST BENGAL,MALDAH
241,AGRICULTURE,Cereals,Paddy (Dhan),Credit,WEST BENGAL,MALDAH
242,AGRICULTURE,Cereals,Wheat,Credit,WEST BENGAL,MALDAH
243,AGRICULTURE,Cereals,Wheat,	Plant Protection	,WEST BENGAL,MALDAH
244,HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,	Plant Protection	,WEST BENGAL,MALDAH
245,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,MALDAH
246,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
247,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
248,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
249,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
250,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
251,HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,MALDAH
252,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,WEST BENGAL,MALDAH
253,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,WEST BENGAL,MALDAH
254,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,WEST BENGAL,MALDAH
255,HORTICULTURE,Vegetables,Chillies,Cultural Practices,WEST BENGAL,MALDAH
256,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,MALDAH
257,AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH
258,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BANKURA
259,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
260,AGRICULTURE,Cereals,Paddy (Dhan),Credit,WEST BENGAL,BANKURA
261,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,WEST BENGAL,BANKURA
262,HORTICULTURE,Vegetables,Potato,Weather,WEST BENGAL,BANKURA
263,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weed Management,WEST BENGAL,BANKURA
264,HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,WEST BENGAL,BANKURA
265,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BANKURA
266,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,BANKURA
267,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
268,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
269,HORTICULTURE,Vegetables,Pea (Vegetable),	Plant Protection	,WEST BENGAL,BANKURA
270,AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BANKURA
271,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BANKURA
272,AGRICULTURE,Others,Others,Cultural Practices,WEST BENGAL,BANKURA
273,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,BANKURA
274,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,WEST BENGAL,BANKURA
275,HORTICULTURE,Vegetables,Tomato,Seeds and Planting Material,WEST BENGAL,BANKURA
276,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BANKURA
277,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,WEST BENGAL,BANKURA
278,HORTICULTURE,Vegetables,Potato,Fertilizer Use and Availability,WEST BENGAL,BANKURA
279,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
280,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,WEST BENGAL,BANKURA
281,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
282,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
283,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
284,HORTICULTURE,Vegetables,Pea (Vegetable),	Plant Protection	,WEST BENGAL,BANKURA
285,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
286,HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,WEST BENGAL,BANKURA
287,AGRICULTURE,Cereals,Wheat,Cultural Practices,WEST BENGAL,BANKURA
288,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
289,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
290,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
291,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
292,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
293,HORTICULTURE,Vegetables,Pumpkin,Cultural Practices,WEST BENGAL,BANKURA
294,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
295,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
296,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
297,HORTICULTURE,Vegetables,Potato,Nutrient Management,WEST BENGAL,BANKURA
298,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
299,AGRICULTURE,Oilseeds,Mustard,Nutrient Management,WEST BENGAL,BANKURA
300,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
301,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,WEST BENGAL,BANKURA
302,AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BANKURA
303,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
305,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
306,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,WEST BENGAL,BANKURA
307,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,WEST BENGAL,BANKURA
308,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,WEST BENGAL,BANKURA
309,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,WEST BENGAL,BANKURA
310,AGRICULTURE,Oilseeds,Mustard,Crop Insurance,WEST BENGAL,BANKURA
311,HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,	Plant Protection	,WEST BENGAL,BANKURA
312,AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BANKURA
313,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BANKURA
314,HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,BANKURA
315,HORTICULTURE,Vegetables,Potato,Nursery Management,WEST BENGAL,BANKURA
316,AGRICULTURE,Cereals,Paddy (Dhan),Government Schemes,WEST BENGAL,BANKURA
317,AGRICULTURE,Cereals,Paddy (Dhan),	Field Preparation	,WEST BENGAL,BANKURA
318,AGRICULTURE,Others,Others,Government Schemes,WEST BENGAL,BANKURA
319,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,WEST BENGAL,BANKURA
320,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
321,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
322,AGRICULTURE,Others,Others,Weather,WEST BENGAL,BANKURA
323,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,WEST BENGAL,BANKURA
